,GUID,Material,Type
121,1QNxzag7L3bAmckf5lk87I,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
122,1QNxzag7L3bAmckf5lk83u,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
123,1QNxzag7L3bAmckf5lk826,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
124,1QNxzag7L3bAmckf5lk822,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
125,1QNxzag7L3bAmckf5lk80G,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
126,1QNxzag7L3bAmckf5lk8UU,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
127,1QNxzag7L3bAmckf5lk8US,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
128,1QNxzag7L3bAmckf5lk8TP,['No material is associated with this element'],M_Transition - Welded - Generic:Standard
129,1QNxzag7L3bAmckf5lk8Sf,['Red Pump \n'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
130,1QNxzag7L3bAmckf5lk8Ss,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
131,1QNxzag7L3bAmckf5lk8RD,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
132,1QNxzag7L3bAmckf5lkBpB,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
133,1FI1NdEM92$x0VSADubDX7,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
134,1FI1NdEM92$x0VSADubDX2,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
135,1FI1NdEM92$x0VSADubDcv,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
136,1FI1NdEM92$x0VSADubDcq,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
137,1FI1NdEM92$x0VSADubDPs,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
138,2Yk5t15dP3JhuZo7eQMdXE,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
139,2Yk5t15dP3JhuZo7eQMdXJ,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
140,2Yk5t15dP3JhuZo7eQMdZt,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
141,2Yk5t15dP3JhuZo7eQMdZE,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
142,2Yk5t15dP3JhuZo7eQMdyw,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
143,2Yk5t15dP3JhuZo7eQMdyN,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
144,2Yk5t15dP3JhuZo7eQMdzk,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
145,2Yk5t15dP3JhuZo7eQMd_v,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
146,2Yk5t15dP3JhuZo7eQMd_m,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
147,2Yk5t15dP3JhuZo7eQMdum,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
148,2Yk5t15dP3JhuZo7eQMdwz,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
149,2Yk5t15dP3JhuZo7eQMdrX,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
150,2Yk5t15dP3JhuZo7eQMdrb,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
151,2Yk5t15dP3JhuZo7eQMdpf,['No material is associated with this element'],M_Transition - Welded - Generic:Standard
152,2Yk5t15dP3JhuZo7eQMdpm,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
153,2Yk5t15dP3JhuZo7eQMdpK,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
154,2Yk5t15dP3JhuZo7eQMdCg,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
155,2Yk5t15dP3JhuZo7eQMdDR,['No material is associated with this element'],M_Transition - Welded - Generic:Standard
156,2Yk5t15dP3JhuZo7eQMdDT,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
157,2Yk5t15dP3JhuZo7eQMdEr,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
158,2Yk5t15dP3JhuZo7eQMdFK,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
159,2Yk5t15dP3JhuZo7eQMd8v,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
160,2Yk5t15dP3JhuZo7eQMdAB,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
161,2Yk5t15dP3JhuZo7eQMdAK,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
162,2Yk5t15dP3JhuZo7eQMd4X,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
163,2Yk5t15dP3JhuZo7eQMd5f,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
164,2Yk5t15dP3JhuZo7eQMd5M,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
165,2Yk5t15dP3JhuZo7eQMd68,['No material is associated with this element'],M_Transition - Welded - Generic:Standard
166,2Yk5t15dP3JhuZo7eQMd6A,['No material is associated with this element'],M_Transition - Welded - Generic:Standard
167,2Yk5t15dP3JhuZo7eQMd6O,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
168,2Yk5t15dP3JhuZo7eQMd7x,['No material is associated with this element'],M_Flange - Blind - Steel - Class 150:Standard
169,2Yk5t15dP3JhuZo7eQMd7N,['No material is associated with this element'],M_Flange - Blind - Steel - Class 150:Standard
170,2Yk5t15dP3JhuZo7eQMd0c,['No material is associated with this element'],M_Flange - Blind - Steel - Class 150:Standard
171,2Yk5t15dP3JhuZo7eQMd08,['No material is associated with this element'],M_Flange - Blind - Steel - Class 150:Standard
172,2Yk5t15dP3JhuZo7eQMd0V,['No material is associated with this element'],M_Flange - Blind - Steel - Class 150:Standard
173,2Yk5t15dP3JhuZo7eQMd1q,['No material is associated with this element'],M_Flange - Blind - Steel - Class 150:Standard
174,2Yk5t15dP3JhuZo7eQMd2t,['No material is associated with this element'],M_Flange - Blind - Steel - Class 150:Standard
175,2Yk5t15dP3JhuZo7eQMdSx,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
176,2Yk5t15dP3JhuZo7eQMdSz,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
177,2Yk5t15dP3JhuZo7eQMdS4,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
178,2Yk5t15dP3JhuZo7eQMdSO,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
179,2Yk5t15dP3JhuZo7eQMdTh,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
180,2Yk5t15dP3JhuZo7eQMdTl,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
181,2Yk5t15dP3JhuZo7eQMdT_,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
182,2Yk5t15dP3JhuZo7eQMdTm,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
183,2Yk5t15dP3JhuZo7eQMdVR,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
184,2Yk5t15dP3JhuZo7eQMdOi,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
185,2Yk5t15dP3JhuZo7eQMdOW,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
186,2Yk5t15dP3JhuZo7eQMdPl,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
187,2Yk5t15dP3JhuZo7eQMdQP,['No material is associated with this element'],M_Elbow - Welded - Generic:Standard
188,2Yk5t15dP3JhuZo7eQMdQR,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
189,2Yk5t15dP3JhuZo7eQMdRA,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
190,2Yk5t15dP3JhuZo7eQMdRC,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
191,2Yk5t15dP3JhuZo7eQMdRH,['No material is associated with this element'],M_Elbow - Welded - Generic:Standard
192,2Yk5t15dP3JhuZo7eQMdRJ,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
193,2Yk5t15dP3JhuZo7eQMdKM,['Red Pump \n'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
194,2Yk5t15dP3JhuZo7eQMdLg,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
195,2Yk5t15dP3JhuZo7eQMdLt,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
196,2Yk5t15dP3JhuZo7eQMdL9,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
197,2Yk5t15dP3JhuZo7eQMdMe,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
198,2Yk5t15dP3JhuZo7eQMdMi,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
199,2Yk5t15dP3JhuZo7eQMdM1,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
200,2Yk5t15dP3JhuZo7eQMdM3,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
201,2Yk5t15dP3JhuZo7eQMdHV,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
202,2Yk5t15dP3JhuZo7eQMdHJ,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
203,0ZgIsHPWzCnP2RuLaoCxtJ,['No material is associated with this element'],M_Transition - Welded - Generic:Standard
204,0ZgIsHPWzCnP2RuLaoCxtL,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
205,0ZgIsHPWzCnP2RuLaoCxtw,['No material is associated with this element'],M_Transition - Welded - Generic:Standard
206,0ZgIsHPWzCnP2RuLaoCxty,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
207,0ZgIsHPWzCnP2RuLaoCw9f,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
208,0ZgIsHPWzCnP2RuLaoCwA8,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
209,0ZgIsHPWzCnP2RuLaoCwAy,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
210,0ZgIsHPWzCnP2RuLaoCwBu,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
211,0ZgIsHPWzCnP2RuLaoCwBp,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
212,0ZgIsHPWzCnP2RuLaoCwCt,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
213,0ZgIsHPWzCnP2RuLaoCwDE,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
214,0ZgIsHPWzCnP2RuLaoCwDv,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
215,0ZgIsHPWzCnP2RuLaoCwEu,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
216,0ZgIsHPWzCnP2RuLaoCwEp,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
217,0ZgIsHPWzCnP2RuLaoCwFj,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
218,0ZgIsHPWzCnP2RuLaoCwFa,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
219,0ZgIsHPWzCnP2RuLaoCw1Q,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
220,0ZgIsHPWzCnP2RuLaoCw1j,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
221,0ZgIsHPWzCnP2RuLaoCw40,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
222,0ZgIsHPWzCnP2RuLaoCw4R,['No material is associated with this element'],M_Flange - Weld Neck - Steel - Class 150:Standard
223,0wA729RFjF89wJLR48Pu3G,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
224,0wA729RFjF89wJLR48PuEs,['No material is associated with this element'],M_Transition - Welded - Generic:Standard
225,0wA729RFjF89wJLR48PuEm,['No material is associated with this element'],M_Transition - Welded - Generic:Standard
